,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
205,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=0",Parallel-015,0.009000000000000001,0.001,0.01,0.0,0.9463524692905491,0.9918478260869565,0.9989301952393688,0.911631987966909,0.9886128364389234,0.9986627440492111,0.931937829029832,0.9908126293995859,0.9986627440492111
206,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=100",Parallel-015,0.022000000000000002,0.001,0.023,0.002,0.7970941883767535,0.9528057926040858,0.9886424371993586,0.720566132264529,0.9339281096457202,0.9810261892036344,0.750250501002004,0.9454357382984225,0.9882415820416889
207,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Parallel-015,0.084,0.033,0.071,0.021,0.0,0.0,0.0,0.025184094256259205,0.05312977099236641,0.0705229793977813,0.02606774668630339,0.05480916030534351,0.07321711568938194
208,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",Parallel-015,0.136,0.063,0.055,0.004,0.14007364222154034,0.2762676839930059,0.4109498680738786,0.15756366983737344,0.3563821332061675,0.5158311345646438,0.1782755446455968,0.3808615482435225,0.5354551451187335
209,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",Parallel-015,0.121,0.021,0.054000000000000006,0.011000000000000001,0.1224521309450278,0.2530429212043562,0.37508316699933464,0.1326436071649166,0.32671364509929535,0.47471723220226214,0.1483940704138357,0.3427290198590647,0.49051896207584833
210,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=False,top_k=0",Parallel-015,0.066,0.016,0.057999999999999996,0.026000000000000002,0.0,0.0,0.0,0.018454258675078865,0.04114754098360656,0.0568259385665529,0.019873817034700314,0.04114754098360656,0.05870307167235495
211,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=0",Parallel-015,0.063,0.006,0.073,0.002,0.6468339915912855,0.906171864719042,0.9789086950605524,0.5261816791948019,0.8498486642979339,0.9627160157844604,0.5691170849789782,0.8870904066324516,0.981221934957137
212,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=100",Parallel-015,0.081,0.009000000000000001,0.07200000000000001,0.005,0.5485625485625486,0.8308351177730193,0.9347826086956522,0.47474747474747475,0.8125,0.9360288008861811,0.48264698264698264,0.8194593147751607,0.9476599279977845
213,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=False,top_k=0",Parallel-015,0.159,0.124,0.062,0.027999999999999997,0.0,0.0,0.0,0.019005847953216373,0.044259818731117825,0.06171875,0.021637426900584796,0.04848942598187311,0.0653125
214,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=0",Parallel-015,0.008,0.0,0.009000000000000001,0.0,0.9423076923076923,0.99251026818072,0.9991280518186347,0.9139305816135085,0.9890070065233149,0.9987543597409069,0.9269465290806754,0.9917854554240154,0.9991280518186347
215,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=100",Parallel-015,0.027999999999999997,0.002,0.027000000000000003,0.002,0.8396497961141761,0.9833086053412463,0.9987241643276346,0.7621731830175102,0.9676063303659743,0.995024240877775,0.7481410410170305,0.9711918892185954,0.9975759122225057
216,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",sequential,0.067,0.003,0.077,0.008,0.31626210186614284,0.5692889341282537,0.7510185604345858,0.28791918058088956,0.58135815035626,0.7789346612343443,0.3057387400028062,0.6102951868547332,0.8053417836124943
217,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",sequential,0.065,0.004,0.069,0.006999999999999999,0.3078571428571429,0.5600651755295512,0.7431559520147647,0.2827142857142857,0.5821359798548363,0.7820670562903722,0.2967142857142857,0.6028736483483929,0.8028298984927714
218,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",sequential,0.057999999999999996,0.004,0.068,0.003,0.3114846729764091,0.5617220676526578,0.752545979632163,0.28040683712388753,0.5813442670962073,0.7876576987384101,0.30639920892781464,0.6096060916678869,0.807873537011704
219,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=False,top_k=0",sequential,0.064,0.004,0.071,0.004,0.3008325102299986,0.5598946906537955,0.7516320024290268,0.2757160999012276,0.585051923358198,0.7891301047517838,0.29843375194017213,0.6109404709667983,0.8112949749506604
220,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=0",sequential,0.033,0.002,0.039,0.003,0.6912857142857143,0.8942222222222223,0.9675384615384616,0.5914285714285714,0.8508148148148148,0.9504615384615385,0.6272857142857143,0.8792592592592593,0.9696923076923077
221,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=100",sequential,0.053,0.004,0.059000000000000004,0.003,0.567244050133784,0.8416289592760181,0.9469777306468717,0.4614842979861991,0.7917092395270764,0.9313740342372367,0.49809885931558934,0.8265946577142023,0.9522799575821845
222,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=False,top_k=0",sequential,0.064,0.005,0.071,0.006999999999999999,0.30883167220376523,0.55233725265271,0.7375074360499703,0.2761627906976744,0.5725552050473186,0.77558001189768,0.3019102990033223,0.596931459707485,0.7956573468173707
223,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=0",sequential,0.009000000000000001,0.0,0.01,0.0,0.9471183897987249,0.9931604077945542,0.9990665422056274,0.9156144518064758,0.9898051361465996,0.9986664888651821,0.9316164520565071,0.9925151632468706,0.9990665422056274
224,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=100",sequential,0.022000000000000002,0.001,0.023,0.0,0.7814829876643622,0.9469622562087835,0.9870583103097281,0.7009624508607836,0.9232496141433983,0.9794968736367602,0.7246848312322082,0.9405079275992704,0.9870583103097281
